Project,Package,Class,Method,Smell,Description,File
camel-language-server,com.github.cameltooling.lsp.internal,CamelCatalogVersionTest,testProductizedCatalog3x,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\CamelCatalogVersionTest.java
camel-language-server,com.github.cameltooling.lsp.internal,CamelExtraComponentTest,testUpdateOfConfig,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\CamelExtraComponentTest.java
camel-language-server,com.github.cameltooling.lsp.internal,CamelLanguageServerRobustnessTest,testStopWithoutErrorIfStopCalledWithoutConnection,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\CamelLanguageServerRobustnessTest.java
camel-language-server,com.github.cameltooling.lsp.internal,CamelLanguageServerTest,testProvideCompletionForJavaOnRealFile,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\CamelLanguageServerTest.java
camel-language-server,com.github.cameltooling.lsp.internal,CamelLanguageServerTest,testProvideCompletionForApplicationProperties,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\CamelLanguageServerTest.java
camel-language-server,com.github.cameltooling.lsp.internal,CamelLanguageServerTest,testProvideCompletionForApplicationProperties,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: com.github.cameltooling.lsp.internal.CamelTextDocumentService.getCamelCatalog; com.github.cameltooling.lsp.internal.AbstractLanguageServer.getTextDocumentService,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\CamelLanguageServerTest.java
camel-language-server,com.github.cameltooling.lsp.internal,CamelLanguageServerTest,testDONTProvideCompletionForNotCamelnamespace,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\CamelLanguageServerTest.java
camel-language-server,com.github.cameltooling.lsp.internal,CamelLanguageServerTest,testDONTProvideCompletionWhenNotAfterURIEqualQuote,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\CamelLanguageServerTest.java
camel-language-server,com.github.cameltooling.lsp.internal,CamelLanguageServerTest,testDONTProvideCompletionWhenNotAfterURIEqualQuote,Conditional test logic,The tool detected the smell in this test method because the test wraps the assert statements within control flow statements.,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\CamelLanguageServerTest.java
camel-language-server,com.github.cameltooling.lsp.internal,CamelLanguageServerTest,testLoadCamelContextFromFile,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\CamelLanguageServerTest.java
camel-language-server,com.github.cameltooling.lsp.internal,CamelLanguageServerTest,testLoadJavaCamelContextFromFile,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\CamelLanguageServerTest.java
camel-language-server,com.github.cameltooling.lsp.internal,CamelTextDocumentServiceTest,testChangeEventUpdatesStoredText,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\CamelTextDocumentServiceTest.java
camel-language-server,com.github.cameltooling.lsp.internal,CamelTextDocumentServiceTest,testChangeEventUpdatesStoredText,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: com.github.cameltooling.lsp.internal.CamelTextDocumentService.didChange; com.github.cameltooling.lsp.internal.AbstractLanguageServer.getTextDocumentService,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\CamelTextDocumentServiceTest.java
camel-language-server,com.github.cameltooling.lsp.internal,RunnerStandardIOTest,testClientProxyAvailable,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\RunnerStandardIOTest.java
camel-language-server,com.github.cameltooling.lsp.internal,RunnerWebSocketTest,testWebsocketServerStartedWithDefaults,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\RunnerWebSocketTest.java
camel-language-server,com.github.cameltooling.lsp.internal,RunnerWebSocketTest,testWebsocketServerStartedWithPortSpecified,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\RunnerWebSocketTest.java
camel-language-server,com.github.cameltooling.lsp.internal,RunnerWebSocketTest,testWebsocketServerStartedWithContextPathSpecified,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\RunnerWebSocketTest.java
camel-language-server,com.github.cameltooling.lsp.internal,RunnerWebSocketTest,testWebsocketServerStartedWithHostnameSpecified,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\RunnerWebSocketTest.java
camel-language-server,com.github.cameltooling.lsp.internal,RunnerWebSocketTest,testWebsocketServerStartedWithHostnameAndPortAndContextPathSpecified,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\RunnerWebSocketTest.java
camel-language-server,com.github.cameltooling.lsp.internal.catalog.util,ModelHelperApisTest,testLoadApis,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 7,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\catalog\util\ModelHelperApisTest.java
camel-language-server,com.github.cameltooling.lsp.internal.catalog.util,ModelHelperApisTest,testLoadApis,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: com.github.cameltooling.lsp.internal.catalog.model.ApiOptionMethodsModel.getFetcher; com.github.cameltooling.lsp.internal.catalog.model.ApiOptionMethodDescriptorModel.getDescription; com.github.cameltooling.lsp.internal.catalog.util.ModelHelper.generateComponentModel; com.github.cameltooling.lsp.internal.catalog.model.ApiOptionModel.isConsumerOnly; com.github.cameltooling.lsp.internal.catalog.model.ComponentModel.getApis; com.github.cameltooling.lsp.internal.catalog.model.ApiOptionModel.getApiOptionsMethodsModel; com.github.cameltooling.lsp.internal.catalog.model.ApiOptionModel.getName; com.github.cameltooling.lsp.internal.catalog.model.ApiOptionModel.getAliases; com.github.cameltooling.lsp.internal.catalog.model.ApiOptionMethodDescriptorModel.getSignatures; com.github.cameltooling.lsp.internal.catalog.model.ApiOptionModel.isProducerOnly,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\catalog\util\ModelHelperApisTest.java
camel-language-server,com.github.cameltooling.lsp.internal.catalog.util,ModelHelperApisTest,testLoadApiProperties,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 8,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\catalog\util\ModelHelperApisTest.java
camel-language-server,com.github.cameltooling.lsp.internal.catalog.util,ModelHelperApisTest,testLoadApiProperties,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: com.github.cameltooling.lsp.internal.catalog.model.BaseOptionModel.getName; com.github.cameltooling.lsp.internal.catalog.model.ApiPropertyMethodOptionModel.getProperties; com.github.cameltooling.lsp.internal.catalog.model.ApiPropertyOptionModel.getName; com.github.cameltooling.lsp.internal.catalog.util.ModelHelper.generateComponentModel; com.github.cameltooling.lsp.internal.catalog.model.ComponentModel.getApiProperties; com.github.cameltooling.lsp.internal.catalog.model.BaseOptionModel.getDescription; com.github.cameltooling.lsp.internal.catalog.model.BaseOptionModel.getGroup; com.github.cameltooling.lsp.internal.catalog.model.BaseOptionModel.getKind; com.github.cameltooling.lsp.internal.catalog.model.ApiPropertyOptionModel.getFetcher; com.github.cameltooling.lsp.internal.catalog.model.ApiPropertyOptionModel.getUpdater; com.github.cameltooling.lsp.internal.catalog.model.BaseOptionModel.isRequired,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\catalog\util\ModelHelperApisTest.java
camel-language-server,com.github.cameltooling.lsp.internal.catalog.util,StringUtilsTest,asComponentName,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\catalog\util\StringUtilsTest.java
camel-language-server,com.github.cameltooling.lsp.internal.catalog.util,StringUtilsTest,isEmpty,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\catalog\util\StringUtilsTest.java
camel-language-server,com.github.cameltooling.lsp.internal.codeactions,CamelKPropertyFileModelineDeprecatedRefactorTest,testRefactor,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\codeactions\CamelKPropertyFileModelineDeprecatedRefactorTest.java
camel-language-server,com.github.cameltooling.lsp.internal.codeactions,CamelKPropertyFileModelineDeprecatedRefactorTest,testRefactorWithEmptyValue,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\codeactions\CamelKPropertyFileModelineDeprecatedRefactorTest.java
camel-language-server,com.github.cameltooling.lsp.internal.codeactions,CamelKPropertyFileModelineDeprecatedRefactorTest,testRefactorWithNoEqual,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\codeactions\CamelKPropertyFileModelineDeprecatedRefactorTest.java
camel-language-server,com.github.cameltooling.lsp.internal.codeactions,CamelKPropertyFileModelineDeprecatedRefactorTest,testRefactorWithSeveralPropertyFileOptions,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 9,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\codeactions\CamelKPropertyFileModelineDeprecatedRefactorTest.java
camel-language-server,com.github.cameltooling.lsp.internal.codeactions,InvalidEnumQuickfixTest,testReturnCodeActionForQuickfix,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\codeactions\InvalidEnumQuickfixTest.java
camel-language-server,com.github.cameltooling.lsp.internal.codeactions,UnknownPropertyQuickfixTest,testReturnCodeActionForQuickfix,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\codeactions\UnknownPropertyQuickfixTest.java
camel-language-server,com.github.cameltooling.lsp.internal.codeactions,UnknownPropertyQuickfixTest,testReturnCodeActionForQuickfixWhenNoCodeActionKindSpecified,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\codeactions\UnknownPropertyQuickfixTest.java
camel-language-server,com.github.cameltooling.lsp.internal.codeactions,UnknownPropertyQuickfixTest,testReturnCodeActionForQuickfixEvenWithInvalidRangeDiagnostic,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\codeactions\UnknownPropertyQuickfixTest.java
camel-language-server,com.github.cameltooling.lsp.internal.codeactions,UnknownPropertyQuickfixTest,testNoErrorWithDiagnosticWithoutCode,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\codeactions\UnknownPropertyQuickfixTest.java
camel-language-server,com.github.cameltooling.lsp.internal.completion,CamelCompletionForApisTest,testFetcher,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\completion\CamelCompletionForApisTest.java
camel-language-server,com.github.cameltooling.lsp.internal.completion,CamelCompletionForApisTest,testTwilio,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\completion\CamelCompletionForApisTest.java
camel-language-server,com.github.cameltooling.lsp.internal.completion,CamelCompletionForApisTest,testGoogleSheetsSpreadsheetId,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\completion\CamelCompletionForApisTest.java
camel-language-server,com.github.cameltooling.lsp.internal.completion,CamelCompletionForApisTest,testUpdater,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\completion\CamelCompletionForApisTest.java
camel-language-server,com.github.cameltooling.lsp.internal.completion,CamelCompletionForApisTest,testApiName,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 5,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\completion\CamelCompletionForApisTest.java
camel-language-server,com.github.cameltooling.lsp.internal.completion,CamelCompletionForApisTest,testWithPartialMethodName,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 5,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\completion\CamelCompletionForApisTest.java
camel-language-server,com.github.cameltooling.lsp.internal.completion,CamelCompletionInsertAndReplaceTest,testComponent,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 5,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\completion\CamelCompletionInsertAndReplaceTest.java
camel-language-server,com.github.cameltooling.lsp.internal.completion,CamelCompletionInsertAndReplaceTest,testAttribute,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 5,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\completion\CamelCompletionInsertAndReplaceTest.java
camel-language-server,com.github.cameltooling.lsp.internal.completion,CamelComponentOptionBooleanValuesTest,testProvideBooleanValues,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\completion\CamelComponentOptionBooleanValuesTest.java
camel-language-server,com.github.cameltooling.lsp.internal.completion,CamelComponentOptionEnumerationValuesTest,testProvideEnumValues,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\completion\CamelComponentOptionEnumerationValuesTest.java
camel-language-server,com.github.cameltooling.lsp.internal.completion,CamelComponentOptionsCompletionsTest,testProvideCamelOptions,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\completion\CamelComponentOptionsCompletionsTest.java
camel-language-server,com.github.cameltooling.lsp.internal.completion,CamelComponentOptionsCompletionsTest,testProvideCamelOptionsForConsumerOnly,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\completion\CamelComponentOptionsCompletionsTest.java
camel-language-server,com.github.cameltooling.lsp.internal.completion,CamelComponentOptionsCompletionsTest,testProvideCamelOptionsForConsumerOnlyForJava,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\completion\CamelComponentOptionsCompletionsTest.java
camel-language-server,com.github.cameltooling.lsp.internal.completion,CamelComponentOptionsCompletionsTest,testProvideCamelOptionsForConsumerOrProducer,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\completion\CamelComponentOptionsCompletionsTest.java
camel-language-server,com.github.cameltooling.lsp.internal.completion,CamelComponentOptionsCompletionsTest,testProvideCamelOptionsWhenAlreadyContainOptions,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\completion\CamelComponentOptionsCompletionsTest.java
camel-language-server,com.github.cameltooling.lsp.internal.completion,CamelDeprecationIndicatorInCompletionTest,testCamelComponentDeprecation,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\completion\CamelDeprecationIndicatorInCompletionTest.java
camel-language-server,com.github.cameltooling.lsp.internal.completion,CamelDeprecationIndicatorInCompletionTest,testParameterDeprecation,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\completion\CamelDeprecationIndicatorInCompletionTest.java
camel-language-server,com.github.cameltooling.lsp.internal.completion,CamelKubernetesServicesCompletionTest,testCompletionForNamespace,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\completion\CamelKubernetesServicesCompletionTest.java
camel-language-server,com.github.cameltooling.lsp.internal.completion,CamelKubernetesServicesCompletionTest,testCompletionForSecret,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\completion\CamelKubernetesServicesCompletionTest.java
camel-language-server,com.github.cameltooling.lsp.internal.completion,CamelKubernetesServicesCompletionTest,testConfigMapCompletion,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\completion\CamelKubernetesServicesCompletionTest.java
camel-language-server,com.github.cameltooling.lsp.internal.completion,CamelKubernetesServicesCompletionTest,testConfigMapAndSecretsCompletion,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 5,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\completion\CamelKubernetesServicesCompletionTest.java
camel-language-server,com.github.cameltooling.lsp.internal.completion,CamelKubernetesServicesCompletionTest,testKubernetesAutoCompletionMidValue,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 5,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\completion\CamelKubernetesServicesCompletionTest.java
camel-language-server,com.github.cameltooling.lsp.internal.completion,CamelKubernetesServicesCompletionTest,testKubernetesAutoCompletionSeveralPlaceholders,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 5,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\completion\CamelKubernetesServicesCompletionTest.java
camel-language-server,com.github.cameltooling.lsp.internal.completion,CamelKubernetesServicesCompletionTest,testKubernetesAutoCompletionPlaceholdersNotClosed,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 5,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\completion\CamelKubernetesServicesCompletionTest.java
camel-language-server,com.github.cameltooling.lsp.internal.completion,CompleteIdOnDirectEndpointsTest,testDirectEndpointCompletion,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\completion\CompleteIdOnDirectEndpointsTest.java
camel-language-server,com.github.cameltooling.lsp.internal.completion,CompleteIdOnDirectEndpointsTest,testSEDAEndpointCompletion,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\completion\CompleteIdOnDirectEndpointsTest.java
camel-language-server,com.github.cameltooling.lsp.internal.completion,KNativeConnectedCompletionTest,testCompletionForChannel,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\completion\KNativeConnectedCompletionTest.java
camel-language-server,com.github.cameltooling.lsp.internal.completion,KNativeConnectedCompletionTest,testCompletionForInMemoryChannel,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\completion\KNativeConnectedCompletionTest.java
camel-language-server,com.github.cameltooling.lsp.internal.completion,KNativeConnectedCompletionTest,testCompletionForEvent,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\completion\KNativeConnectedCompletionTest.java
camel-language-server,com.github.cameltooling.lsp.internal.completion,KNativeConnectedCompletionTest,testCompletionForEndpoint,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\completion\KNativeConnectedCompletionTest.java
