Project,Package,Class,Method,Smell,Description,Method start line no,File
camel-language-server,com.github.cameltooling.lsp.internal,CamelExtraComponentTest,testUpdateOfConfig,Magic Number,The method contains a magic number: 11,45,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\CamelExtraComponentTest.java
camel-language-server,com.github.cameltooling.lsp.internal,CamelExtraComponentTest,testUpdateOfConfig,Magic Number,The method contains a magic number: 11,45,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\CamelExtraComponentTest.java
camel-language-server,com.github.cameltooling.lsp.internal,CamelExtraComponentTest,createExpectedExtraComponentCompletionItem,Long Identifier,The length of the identifier expectedAhcCompletioncompletionItem is 35.,84,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\CamelExtraComponentTest.java
camel-language-server,com.github.cameltooling.lsp.internal,CamelExtraComponentTest,createExpectedExtraComponentCompletionItem,Long Parameter List,The method has 6 parameters. ,84,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\CamelExtraComponentTest.java
camel-language-server,com.github.cameltooling.lsp.internal,CamelExtraComponentTest,createExpectedExtraComponentCompletionItem,Long Statement,The length of the statement "expectedAhcCompletioncompletionItem.setTextEdit(Either.forLeft(new TextEdit(new Range(new Position(lineStart`characterStart)`new Position(lineEnd`characterEnd))`syntax)));" is 171.,84,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\CamelExtraComponentTest.java
camel-language-server,com.github.cameltooling.lsp.internal,CamelExtraComponentTest,createBasicExpectedCompletionItem,Magic Number,The method contains a magic number: 11,92,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\CamelExtraComponentTest.java
camel-language-server,com.github.cameltooling.lsp.internal,CamelExtraComponentTest,createBasicExpectedCompletionItem,Magic Number,The method contains a magic number: 11,92,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\CamelExtraComponentTest.java
camel-language-server,com.github.cameltooling.lsp.internal,CamelExtraComponentTest,getInitializationOptions,Long Statement,The length of the statement "String component="{\n" + " \"component\": {\n" + " \"kind\": \"component\"`\n"+ " \"scheme\": \"acomponent\"`\n"+ " \"syntax\": \"acomponent:withsyntax\"`\n"+ " \"title\": \"A Component\"`\n"+ " \"description\": \"Description of my component.\"`\n"+ " \"label\": \"\"`\n"+ " \"deprecated\": false`\n"+ " \"deprecationNote\": \"\"`\n"+ " \"async\": false`\n"+ " \"consumerOnly\": true`\n"+ " \"producerOnly\": false`\n"+ " \"lenientProperties\": false`\n"+ " \"javaType\": \"org.test.AComponent\"`\n"+ " \"firstVersion\": \"1.0.0\"`\n"+ " \"groupId\": \"org.test\"`\n"+ " \"artifactId\": \"camel-acomponent\"`\n"+ " \"version\": \"3.0.0-RC3\"\n"+ " }`\n"+ " \"componentProperties\": {\n"+ " }`\n"+ " \"properties\": {\n"+ " }\n"+ "}";" is 733.,96,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\CamelExtraComponentTest.java
camel-language-server,com.github.cameltooling.lsp.internal,CamelLanguageServerTest,testProvideCompletionForCamelBlueprintNamespace,Long Statement,The length of the statement "CompletableFuture<Either<List<CompletionItem>`CompletionList>> completions=getCompletionFor(camelLanguageServer`new Position(0`11));" is 132.,48,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\CamelLanguageServerTest.java
camel-language-server,com.github.cameltooling.lsp.internal,CamelLanguageServerTest,testProvideCompletionForCamelBlueprintNamespace,Magic Number,The method contains a magic number: 11,48,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\CamelLanguageServerTest.java
camel-language-server,com.github.cameltooling.lsp.internal,CamelLanguageServerTest,testProvideCompletionForCamelBlueprintNamespace,Magic Number,The method contains a magic number: 11,48,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\CamelLanguageServerTest.java
camel-language-server,com.github.cameltooling.lsp.internal,CamelLanguageServerTest,testProvideCompletionForCamelBlueprintNamespace,Magic Number,The method contains a magic number: 11,48,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\CamelLanguageServerTest.java
camel-language-server,com.github.cameltooling.lsp.internal,CamelLanguageServerTest,testProvideCompletionForToCamelBlueprintNamespace,Long Statement,The length of the statement "CamelLanguageServer camelLanguageServer=initializeLanguageServer("<to uri=\"\" xmlns=\"http://camel.apache.org/schema/blueprint\"></to>\n");" is 140.,57,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\CamelLanguageServerTest.java
camel-language-server,com.github.cameltooling.lsp.internal,CamelLanguageServerTest,testProvideCompletionForToCamelBlueprintNamespace,Long Statement,The length of the statement "CompletableFuture<Either<List<CompletionItem>`CompletionList>> completions=getCompletionFor(camelLanguageServer`new Position(0`9));" is 131.,57,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\CamelLanguageServerTest.java
camel-language-server,com.github.cameltooling.lsp.internal,CamelLanguageServerTest,testProvideCompletionForToCamelBlueprintNamespace,Magic Number,The method contains a magic number: 9,57,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\CamelLanguageServerTest.java
camel-language-server,com.github.cameltooling.lsp.internal,CamelLanguageServerTest,testProvideCompletionForToCamelBlueprintNamespace,Magic Number,The method contains a magic number: 9,57,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\CamelLanguageServerTest.java
camel-language-server,com.github.cameltooling.lsp.internal,CamelLanguageServerTest,testProvideCompletionForToCamelBlueprintNamespace,Magic Number,The method contains a magic number: 9,57,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\CamelLanguageServerTest.java
camel-language-server,com.github.cameltooling.lsp.internal,CamelLanguageServerTest,testProvideCompletionForCamelSpringNamespace,Long Statement,The length of the statement "CompletableFuture<Either<List<CompletionItem>`CompletionList>> completions=getCompletionFor(camelLanguageServer`new Position(0`11));" is 132.,66,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\CamelLanguageServerTest.java
camel-language-server,com.github.cameltooling.lsp.internal,CamelLanguageServerTest,testProvideCompletionForCamelSpringNamespace,Magic Number,The method contains a magic number: 11,66,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\CamelLanguageServerTest.java
camel-language-server,com.github.cameltooling.lsp.internal,CamelLanguageServerTest,testProvideCompletionForCamelSpringNamespace,Magic Number,The method contains a magic number: 11,66,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\CamelLanguageServerTest.java
camel-language-server,com.github.cameltooling.lsp.internal,CamelLanguageServerTest,testProvideCompletionForCamelSpringNamespace,Magic Number,The method contains a magic number: 11,66,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\CamelLanguageServerTest.java
camel-language-server,com.github.cameltooling.lsp.internal,CamelLanguageServerTest,testProvideCompletionForCamelXMLIONamespace,Long Statement,The length of the statement "CompletableFuture<Either<List<CompletionItem>`CompletionList>> completions=getCompletionFor(camelLanguageServer`new Position(0`11));" is 132.,75,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\CamelLanguageServerTest.java
camel-language-server,com.github.cameltooling.lsp.internal,CamelLanguageServerTest,testProvideCompletionForCamelXMLIONamespace,Magic Number,The method contains a magic number: 11,75,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\CamelLanguageServerTest.java
camel-language-server,com.github.cameltooling.lsp.internal,CamelLanguageServerTest,testProvideCompletionForCamelXMLIONamespace,Magic Number,The method contains a magic number: 11,75,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\CamelLanguageServerTest.java
camel-language-server,com.github.cameltooling.lsp.internal,CamelLanguageServerTest,testProvideCompletionForCamelXMLIONamespace,Magic Number,The method contains a magic number: 11,75,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\CamelLanguageServerTest.java
camel-language-server,com.github.cameltooling.lsp.internal,CamelLanguageServerTest,testProvideCompletionForJava,Long Statement,The length of the statement "CompletableFuture<Either<List<CompletionItem>`CompletionList>> completions=getCompletionFor(camelLanguageServer`new Position(1`6));" is 131.,84,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\CamelLanguageServerTest.java
camel-language-server,com.github.cameltooling.lsp.internal,CamelLanguageServerTest,testProvideCompletionForJava,Magic Number,The method contains a magic number: 6,84,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\CamelLanguageServerTest.java
camel-language-server,com.github.cameltooling.lsp.internal,CamelLanguageServerTest,testProvideCompletionForJava,Magic Number,The method contains a magic number: 6,84,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\CamelLanguageServerTest.java
camel-language-server,com.github.cameltooling.lsp.internal,CamelLanguageServerTest,testProvideCompletionForJava,Magic Number,The method contains a magic number: 6,84,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\CamelLanguageServerTest.java
camel-language-server,com.github.cameltooling.lsp.internal,CamelLanguageServerTest,testProvideCompletionForJavaOnRealFile,Magic Number,The method contains a magic number: 15,96,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\CamelLanguageServerTest.java
camel-language-server,com.github.cameltooling.lsp.internal,CamelLanguageServerTest,testProvideCompletionForJavaOnRealFile,Magic Number,The method contains a magic number: 14,96,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\CamelLanguageServerTest.java
camel-language-server,com.github.cameltooling.lsp.internal,CamelLanguageServerTest,testProvideCompletionForJavaOnRealFile,Magic Number,The method contains a magic number: 15,96,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\CamelLanguageServerTest.java
camel-language-server,com.github.cameltooling.lsp.internal,CamelLanguageServerTest,testProvideCompletionForJavaOnRealFile,Magic Number,The method contains a magic number: 14,96,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\CamelLanguageServerTest.java
camel-language-server,com.github.cameltooling.lsp.internal,CamelLanguageServerTest,testProvideCompletionForJavaOnRealFile,Magic Number,The method contains a magic number: 15,96,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\CamelLanguageServerTest.java
camel-language-server,com.github.cameltooling.lsp.internal,CamelLanguageServerTest,testProvideCompletionForJavaOnRealFile,Magic Number,The method contains a magic number: 27,96,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\CamelLanguageServerTest.java
camel-language-server,com.github.cameltooling.lsp.internal,CamelLanguageServerTest,testProvideCompletionForApplicationProperties,Long Statement,The length of the statement "CompletableFuture<Either<List<CompletionItem>`CompletionList>> completions=getCompletionFor(cls`new Position(2`6)`"application.properties");" is 140.,353,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\CamelLanguageServerTest.java
camel-language-server,com.github.cameltooling.lsp.internal,CamelLanguageServerTest,testProvideCompletionForApplicationProperties,Magic Number,The method contains a magic number: 2,353,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\CamelLanguageServerTest.java
camel-language-server,com.github.cameltooling.lsp.internal,CamelLanguageServerTest,testProvideCompletionForApplicationProperties,Magic Number,The method contains a magic number: 6,353,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\CamelLanguageServerTest.java
